"PersonSize","TimePoint","ModelTorF","BRMSEA","BGammaHat","adjBGammaHat","BMc"
25,1,0,0.061467006583351,0.973871724370637,0.934491171307025,0.959954744970427
25,1,0.3,0.258948121870104,0.817811271030913,0.613435676508406,0.715608466998914
25,2,0,0.149006602294334,0.80638863625745,0.766942758520134,0.488058889716337
25,2,0.3,0.187474214877343,0.722810367131373,0.669841884980148,0.317544458355803
25,3,0,0.174105756769234,0.653747805218505,0.623563623284092,0.0926611972868897
25,3,0.3,0.153004774830028,0.713861621655769,0.682525473414119,0.165422204330893
25,4,0,0.194876425747784,0.522741874192238,0.503746720533692,0.00419973648391229
25,4,0.3,0.243537974835729,0.414074390293928,0.386060277326138,0.00020659883472531
50,1,0,0.0697059269889507,0.97611438875749,0.943703923968274,0.963697289077705
50,1,0.3,0.135115432812323,0.95715929215622,0.852922834681198,0.934741761503075
50,2,0,0.0707590810911876,0.94882120154424,0.936689192209036,0.851110726982128
50,2,0.3,0.124693809482448,0.857377515163899,0.826486754130772,0.607492057986204
50,3,0,0.0678127187815486,0.926274494593579,0.918736329424967,0.699584094555928
50,3,0.3,0.0560405263480937,0.947740483985364,0.942922178444211,0.780926416835245
50,4,0,0.0831330479193411,0.859363982608927,0.851472293282571,0.374990376756906
50,4,0.3,0.0922929346769174,0.831574532041973,0.822886921071187,0.296973731990829
50,5,0,0.0895581850566872,0.805467208587926,0.799718084618527,0.163622979227406
50,5,0.3,0.0895947553446766,0.805650026659242,0.799508995964914,0.163967645386616
75,1,0,0.0160236862000942,0.995905854552987,0.990733549542037,0.993812081340238
75,1,0.3,0.158856925660316,0.94002339039529,0.829810613629575,0.90859865254474
75,2,0,0.0737551834317766,0.946628828305287,0.932410320273395,0.844614585949233
75,2,0.3,0.0925106221480779,0.915997182988605,0.897784211439818,0.759690293856238
75,3,0,0.0463036643154141,0.96381394495428,0.960344203059394,0.844879886706442
75,3,0.3,0.0819765843059695,0.895636566821177,0.885562700130869,0.59217310632479
75,4,0,0.0627879073108693,0.913704657308681,0.90988584451243,0.567677220624631
75,4,0.3,0.0711256571326202,0.892678428752689,0.887061704069716,0.486320830620441
75,5,0,0.0663452097994997,0.883255609949392,0.879456301663143,0.371276996754668
75,5,0.3,0.083071263782558,0.828625897611361,0.822727650038031,0.212120994893011
75,10,0,0.0842916232291598,0.699340771615605,0.696899374003518,0.00158338297626173
75,10,0.3,0.0857475644948414,0.692075847771012,0.689596659391324,0.00126416222953775
100,1,0,0.111229435362544,0.965534156488489,0.911963454444543,0.947777067266648
100,1,0.3,0.163277649757626,0.937443477052852,0.822953496185014,0.904677087568525
100,2,0,0.0576102402848635,0.965320345441719,0.957775700175305,0.897949303947745
100,2,0.3,0.0582819895924007,0.965179150537274,0.956778394781372,0.8975450470996
100,3,0,0.0425909761120959,0.969024661883352,0.966343667265611,0.866206805903132
100,3,0.3,0.0855700315150349,0.887400481031057,0.876505432170949,0.565089768231838
100,4,0,0.0528757916436849,0.937776941514994,0.93439505664885,0.671763062089166
100,4,0.3,0.066149019739755,0.905941382069282,0.900865866695796,0.536510930141125
100,5,0,0.0496523405670941,0.931143986660707,0.928803218168306,0.574470298134924
100,5,0.3,0.0607882451991302,0.90050568785314,0.896829267319258,0.436758171713117
100,10,0,0.0544901356449716,0.847628770193087,0.846476251486785,0.0674679960505794
100,10,0.3,0.0712329057263677,0.765124836664327,0.763177104032116,0.0100086731581013
250,1,0,0.0211868788621524,0.99710105665881,0.992214093561378,0.995640492118906
250,1,0.3,0.14170611224619,0.94553520174138,0.866726057147786,0.917211519899446
250,2,0,0.0293161311962047,0.99069667679701,0.988497755532263,0.97224163628479
250,2,0.3,0.0699076444735241,0.950783338128621,0.939534195143526,0.856183594192084
250,3,0,0.0408799748900499,0.971816855543451,0.969094588184074,0.877685048911989
250,3,0.3,0.0701486740666896,0.921511587098892,0.913830518816875,0.681645435373763
250,4,0,0.0271912534649454,0.982725328681943,0.981789075910713,0.899939013607886
250,4,0.3,0.0521080218019696,0.939463206602527,0.936218712142231,0.679372725490418
250,5,0,0.0194596308282678,0.988708911060574,0.988347326734743,0.917957754121308
250,5,0.3,0.0335666790730529,0.967300355230536,0.966200013199207,0.776085442568698
250,10,0,0.0274186241765768,0.956475676384665,0.956134961436448,0.50534188185946
250,10,0.3,0.0370611541505344,0.923302649470836,0.922639810831512,0.28766019241798
